CustomerID,Age,Gender,Income,Orders,Purchases,City,SignupDate
C001,21,Male,25000,3,4500,Indore,10-01-2025
C002,25,Female,32000,5,7200,Surat,15-02-2025
C003,29,Male,45000,7,12000,Bhopal,05-03-2025
C004,35,Female,55000,10,18500,Pune,22-03-2025
C005,42,Male,62000,8,21000,Mumbai,11-04-2025
C006,28,Female,38000,4,8000,Indore,03-05-2025
C007,31,Male,48000,6,13500,Delhi,18-05-2025
C008,45,Female,70000,12,28000,Ahmedabad,01-06-2025
C009,23,Male,28000,2,3500,Surat,20-06-2025
C010,38,Female,58000,9,19500,Pune,09-07-2025
C011,26,Female,35000,4,6500,Bhopal,21-07-2025
C012,33,Male,50000,7,14500,Delhi,14-08-2025
C013,,Female,42000,5,9800,Mumbai,28-08-2025
C014,41,Male,,8,22000,Indore,10-09-2025
C015,30,,47000,6,12500,Ahmedabad,22-09-2025
C005,42,Male,62000,8,21000,Mumbai,11-04-2025
